chi_kappa,L,P_demand,S_supply,Deficit,Deficit_Ratio,Is_Vulnerable
0.03,0.4,0.06811674959083602,0.15486864365339206,-0.08675189406255604,-0.5601643561669815,0
0.03,0.41000000000000003,0.07156516003887207,0.1567925515026698,-0.08522739146379772,-0.543567858594013,0
0.03,0.42000000000000004,0.07509871642389669,0.158693136670725,-0.0835944202468283,-0.5267677103155365,0
0.03,0.43000000000000005,0.07871741874590985,0.16057122732939869,-0.08185380858348884,-0.5097663507022493,0
0.03,0.44000000000000006,0.08242126700491155,0.16242760376778778,-0.08000633676287623,-0.4925661335080465,0
0.03,0.45000000000000007,0.0862102612009018,0.16426300218071477,-0.07805274097981296,-0.4751693317643303,0
0.03,0.4600000000000001,0.09008440133388063,0.16607811808031042,-0.0759937167464298,-0.45757814229133725,0
0.03,0.47000000000000003,0.09404368740384798,0.16787360937554646,-0.07382992197169848,-0.43979468986417714,0
0.03,0.48000000000000004,0.09808811941080381,0.16965009915838422,-0.07156197974758041,-0.4218210310668349,0
0.03,0.49000000000000005,0.1022176973547483,0.17140817822999468,-0.06919048087524639,-0.40365915786355844,0
0.03,0.5,0.10643242123568125,0.173148407396088,-0.06671598616040675,-0.3853110009137403,0
0.03,0.51,0.11073229105360276,0.174871319556632,-0.06413902850302923,-0.3667784326534909,0
0.03,0.52,0.11511730680851284,0.1765774216120332,-0.061460114803520344,-0.34806327016461563,0
0.03,0.53,0.11958746850041144,0.17826719620510603,-0.058679727704694595,-0.32916727784948385,0
0.03,0.54,0.12414277612929861,0.17994110331579552,-0.05579832718649691,-0.3100921699283526,0
0.03,0.55,0.12878322969517425,0.18159958172358723,-0.05281635202841298,-0.29083961277402476,0
0.04,0.25,0.04730329832696943,0.12243441302142478,-0.07513111469445535,-0.613643769266964,0
0.04,0.26,0.051163247470450146,0.1248590922263047,-0.07369584475585456,-0.5902321043811711,0
0.04,0.27,0.05517456716857717,0.1272375743687882,-0.07206300720021103,-0.5663657733001262,0
0.04,0.28,0.05933725742135049,0.1295724035083433,-0.0702351460869928,-0.5420532782080429,0
0.04,0.29000000000000004,0.06365131822877011,0.13186589843702945,-0.06821458020825934,-0.5173026613915209,0
0.04,0.3,0.06811674959083598,0.1341201796534772,-0.06600343006264121,-0.492121545267629,0
0.04,0.31,0.0727335515075482,0.1363371923209402,-0.06360364081339198,-0.4665171676974825,0
0.04,0.32,0.07750172397890674,0.13851872591687042,-0.06101700193796368,-0.4404964132761513,0
0.04,0.33,0.08242126700491155,0.14066643113873722,-0.058245164133825675,-0.41406584116987605,0
0.04,0.34,0.08749218058556267,0.1427818345203098,-0.05528965393474712,-0.38723170997556083,0
